id,name,approach,services,length,planning_time,execution_time,total_time,messages_size,input_size
doa_1,request_19_23,doa,25,5,0,213,213,2017,279
doa_2,request_24_3,doa,25,5,0,211,211,1999,277
doa_3,request_18_22,doa,25,5,0,192,192,2017,279
doa_4,request_8_12,doa,25,5,0,216,216,2009,277
doa_5,request_3_7,doa,25,5,0,189,189,1991,275
doa_6,request_5_9,doa,25,5,0,189,189,1991,275
doa_7,request_1_5,doa,25,5,0,232,232,1991,276
doa_8,request_20_24,doa,25,5,0,211,211,2017,279
doa_9,request_15_19,doa,25,5,0,248,248,2017,279
doa_10,request_2_6,doa,25,5,0,201,201,1997,275
doa_11,request_13_22,doa,25,10,0,400,400,3873,279
doa_12,request_17_1,doa,25,10,0,403,403,3858,277
doa_13,request_14_23,doa,25,10,0,405,405,3873,279
doa_14,request_7_16,doa,25,10,0,443,443,3861,277
doa_15,request_9_18,doa,25,10,0,402,402,3869,277
doa_16,request_20_4,doa,25,10,0,518,518,3846,277
doa_17,request_6_15,doa,25,10,0,387,387,3857,277
doa_18,request_4_13,doa,25,10,0,410,410,3849,277
doa_19,request_5_14,doa,25,10,0,380,380,3853,277
doa_20,request_16_25,doa,25,10,0,425,425,3873,279
doa_21,request_18_7,doa,25,15,0,583,583,5679,277
doa_22,request_13_2,doa,25,15,0,618,618,5699,277
doa_23,request_19_8,doa,25,15,0,583,583,5675,277
doa_24,request_10_24,doa,25,15,0,758,758,5723,278
doa_25,request_24_13,doa,25,15,0,580,580,5687,279
doa_26,request_6_20,doa,25,15,0,600,600,5707,277
doa_27,request_8_22,doa,25,15,0,606,606,5715,277
doa_28,request_11_25,doa,25,15,0,640,640,5723,279
doa_29,request_4_18,doa,25,15,0,597,597,5699,277
doa_30,request_22_11,doa,25,15,0,614,614,5687,279
doa_31,request_22_16,doa,25,20,0,760,760,7537,279
doa_32,request_13_7,doa,25,20,0,980,980,7524,277
doa_33,request_21_15,doa,25,20,0,918,918,7537,279
doa_34,request_7_1,doa,25,20,0,850,850,7536,275
doa_35,request_4_23,doa,25,20,0,883,883,7549,277
doa_36,request_23_17,doa,25,20,0,900,900,7537,279
doa_37,request_11_5,doa,25,20,0,897,897,7532,277
doa_38,request_20_14,doa,25,20,0,854,854,7537,279
doa_39,request_8_2,doa,25,20,0,876,876,7536,275
doa_40,request_1_20,doa,25,20,0,836,836,7537,278
conversation_41,request_19_23,conversation,25,5,34,182,216,3109,1225
conversation_42,request_24_3,conversation,25,5,32,156,188,3102,1219
conversation_43,request_18_22,conversation,25,5,31,135,166,3109,1225
conversation_44,request_8_12,conversation,25,5,33,163,196,3102,1219
conversation_45,request_3_7,conversation,25,5,33,145,178,3095,1213
conversation_46,request_5_9,conversation,25,5,33,148,181,3095,1213
conversation_47,request_1_5,conversation,25,5,32,158,190,3096,1214
conversation_48,request_20_24,conversation,25,5,31,135,166,3109,1225
conversation_49,request_15_19,conversation,25,5,30,152,182,3109,1225
conversation_50,request_2_6,conversation,25,5,31,151,182,3095,1213
conversation_51,request_13_22,conversation,25,10,62,290,352,6259,2367
conversation_52,request_17_1,conversation,25,10,61,285,346,6258,2365
conversation_53,request_14_23,conversation,25,10,63,297,360,6259,2367
conversation_54,request_7_16,conversation,25,10,62,287,349,6249,2359
conversation_55,request_9_18,conversation,25,10,66,292,358,6255,2363
conversation_56,request_20_4,conversation,25,10,56,301,357,6249,2359
conversation_57,request_6_15,conversation,25,10,60,276,336,6246,2357
conversation_58,request_4_13,conversation,25,10,63,282,345,6240,2353
conversation_59,request_5_14,conversation,25,10,64,295,359,6243,2355
conversation_60,request_16_25,conversation,25,10,61,307,368,6259,2367
conversation_61,request_18_7,conversation,25,15,89,445,534,9390,3503
conversation_62,request_13_2,conversation,25,15,93,435,528,9405,3513
conversation_63,request_19_8,conversation,25,15,92,441,533,9387,3501
conversation_64,request_10_24,conversation,25,15,91,422,513,9408,3516
conversation_65,request_24_13,conversation,25,15,94,479,573,9382,3499
conversation_66,request_6_20,conversation,25,15,100,447,547,9396,3507
conversation_67,request_8_22,conversation,25,15,97,433,530,9402,3511
conversation_68,request_11_25,conversation,25,15,96,436,532,9409,3517
conversation_69,request_4_18,conversation,25,15,92,445,537,9390,3503
conversation_70,request_22_11,conversation,25,15,91,445,536,9382,3499
conversation_71,request_22_16,conversation,25,20,118,580,698,12532,4649
conversation_72,request_13_7,conversation,25,20,119,579,698,12540,4653
conversation_73,request_21_15,conversation,25,20,120,581,701,12532,4649
conversation_74,request_7_1,conversation,25,20,127,569,696,12548,4657
conversation_75,request_4_23,conversation,25,20,123,570,693,12540,4653
conversation_76,request_23_17,conversation,25,20,122,595,717,12532,4649
conversation_77,request_11_5,conversation,25,20,132,603,735,12546,4657
conversation_78,request_20_14,conversation,25,20,122,575,697,12532,4649
conversation_79,request_8_2,conversation,25,20,125,576,701,12548,4657
conversation_80,request_1_20,conversation,25,20,121,584,705,12532,4648
planning_81,request_19_23,planning,25,5,32,133,165,3109,279
planning_82,request_24_3,planning,25,5,31,157,188,3102,277
planning_83,request_18_22,planning,25,5,33,137,170,3109,279
planning_84,request_8_12,planning,25,5,33,143,176,3102,277
planning_85,request_3_7,planning,25,5,30,139,169,3095,275
planning_86,request_5_9,planning,25,5,29,144,173,3095,275
planning_87,request_1_5,planning,25,5,29,155,184,3096,276
planning_88,request_20_24,planning,25,5,31,142,173,3109,279
planning_89,request_15_19,planning,25,5,33,146,179,3109,279
planning_90,request_2_6,planning,25,5,31,155,186,3095,275
planning_91,request_13_22,planning,25,10,61,280,341,6259,279
planning_92,request_17_1,planning,25,10,63,286,349,6258,277
planning_93,request_14_23,planning,25,10,64,280,344,6259,279
planning_94,request_7_16,planning,25,10,60,287,347,6249,277
planning_95,request_9_18,planning,25,10,61,287,348,6255,277
planning_96,request_20_4,planning,25,10,59,298,357,6249,277
planning_97,request_6_15,planning,25,10,61,281,342,6246,277
planning_98,request_4_13,planning,25,10,66,274,340,6240,277
planning_99,request_5_14,planning,25,10,65,272,337,6243,277
planning_100,request_16_25,planning,25,10,62,276,338,6259,279
planning_101,request_18_7,planning,25,15,88,420,508,9390,277
planning_102,request_13_2,planning,25,15,87,420,507,9405,277
planning_103,request_19_8,planning,25,15,88,408,496,9387,277
planning_104,request_10_24,planning,25,15,91,407,498,9408,278
planning_105,request_24_13,planning,25,15,92,416,508,9382,279
planning_106,request_6_20,planning,25,15,90,411,501,9396,277
planning_107,request_8_22,planning,25,15,92,405,497,9402,277
planning_108,request_11_25,planning,25,15,93,413,506,9409,279
planning_109,request_4_18,planning,25,15,91,425,516,9390,277
planning_110,request_22_11,planning,25,15,90,424,514,9382,279
planning_111,request_22_16,planning,25,20,117,543,660,12532,279
planning_112,request_13_7,planning,25,20,119,566,685,12540,277
planning_113,request_21_15,planning,25,20,115,545,660,12532,279
planning_114,request_7_1,planning,25,20,121,536,657,12548,275
planning_115,request_4_23,planning,25,20,117,551,668,12540,277
planning_116,request_23_17,planning,25,20,117,566,683,12532,279
planning_117,request_11_5,planning,25,20,118,564,682,12546,277
planning_118,request_20_14,planning,25,20,119,553,672,12532,279
planning_119,request_8_2,planning,25,20,118,545,663,12548,275
planning_120,request_1_20,planning,25,20,123,581,704,12532,278
