id,name,approach,services,length,planning_time,execution_time,total_time,messages_size,input_size
conversation_1,request_19,conversation,100,5,33,3,36,0,1611
conversation_2,request_13,conversation,100,5,34,3,37,0,1611
conversation_3,request_3,conversation,100,5,35,3,38,0,1610
conversation_4,request_11,conversation,100,5,33,0,33,0,1616
conversation_5,request_7,conversation,100,5,34,1,35,0,1608
conversation_6,request_16,conversation,100,5,33,1,34,0,1611
conversation_7,request_5,conversation,100,5,34,0,34,0,1610
